report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2024-04-02,29745,3232,19313,1704,19477,548,145,2285,4281,198,1619,771
2024-03-26,31238,3629,19731,1602,19284,588,260,2967,4679,191,1823,857
2024-03-19,33196,5548,19917,1779,18097,524,184,2723,4948,683,1663,820
2024-03-12,30398,3813,19287,1566,18936,464,123,2835,4893,193,1800,865
2024-03-05,27747,4650,17059,1349,15924,393,201,2501,5169,287,1705,813
2024-02-27,25229,4141,15037,1060,14065,311,234,1956,5454,167,1726,719
2024-02-20,25530,4400,14677,1299,13724,34,292,1941,5606,406,1724,828
2024-02-13,24769,3935,14059,1557,13220,0,239,1923,5462,246,1725,956
2024-02-06,20897,2938,12252,1108,12290,0,268,1675,4957,145,1591,825
2024-01-30,20679,2642,12123,848,12793,0,220,1575,4784,172,1435,654
2024-01-23,22815,2972,11328,2022,12427,42,422,1588,4017,976,1613,839
2024-01-16,23286,3578,13413,1537,12824,15,195,1921,5039,508,1747,728
2024-01-09,26846,3579,14998,1865,14339,0,168,906,6261,595,1561,722
2024-01-02,23579,3317,13616,1163,12724,0,167,882,5867,361,1684,697
2023-12-26,22526,2818,12649,1293,11862,0,317,976,5841,444,2145,935
2023-12-19,23239,3187,12415,1309,11606,0,256,870,6399,288,2589,1543
2023-12-12,21211,3435,11606,1219,11469,0,286,734,6292,291,1654,775
2023-12-05,23035,4390,12535,976,11735,0,239,647,6439,126,1641,778
2023-11-28,23027,4479,13303,547,11448,0,235,676,6408,73,1688,735
2023-11-21,21939,3780,11322,931,10973,34,250,850,6226,178,1664,1233
2023-11-14,21203,3958,10635,1360,10886,0,263,834,5539,166,1609,746
2023-11-07,21749,4782,12188,1084,10268,0,150,798,5355,104,1580,697
2023-10-31,19603,4780,11822,691,9181,0,162,683,4757,116,1468,625
2023-10-24,19678,3536,11489,1457,8383,25,374,509,3596,195,1617,725
2023-10-17,16561,2576,10429,1232,7344,127,514,407,2823,203,1341,673
2023-10-10,14683,1946,9114,976,7402,517,444,429,2600,98,1286,775
2023-10-03,14447,2373,8565,694,7336,623,404,427,2898,77,1195,776
2023-09-26,14844,1594,8220,1619,7168,1093,433,433,1859,85,1200,961
2023-09-19,16670,2204,10304,2044,7392,850,321,620,2111,65,1191,791
2023-09-12,15423,1660,9221,1771,7295,1291,336,530,1679,122,1134,823
2023-09-05,14962,1670,8755,1066,7624,1539,345,520,2077,200,1218,723
2023-08-29,16172,2483,10012,832,7758,936,340,565,2785,177,1277,703
2023-08-22,17262,2771,10163,1489,7633,582,405,599,3066,529,1171,757
2023-08-15,15432,2131,8694,1161,8471,0,318,614,4359,41,1299,601
2023-08-08,16743,3637,10164,847,8748,50,334,587,4372,63,1250,557
2023-08-01,14860,2311,8957,560,8220,121,357,583,3480,128,1226,601
2023-07-25,16017,2440,8844,1314,8616,113,350,658,4037,425,1503,680
2023-07-18,15455,2487,8830,697,8958,113,245,627,4177,170,1657,692
2023-07-11,16302,4189,9931,569,8243,152,240,777,4140,64,1535,484
2023-07-03,17008,5356,10464,453,8311,70,247,556,4081,110,1568,624
2023-06-27,18829,6145,10411,1567,7603,70,363,536,4473,159,1780,676
