report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2014-12-23,351884,95712,72016,13329,172843,28351,3531,14143,205805,2467,35270,15466
2014-12-16,478340,124075,67168,40594,168075,32155,41419,20417,215859,49687,10260,10119
2014-12-09,411863,116639,60149,23849,185064,30764,2466,23995,228048,10805,33302,37935
2014-12-02,410336,114607,61415,23003,185996,29418,2315,23987,227455,10870,33652,35193
2014-11-25,394554,109388,49958,22162,180092,28595,3296,23654,220707,9629,32123,38301
2014-11-18,399751,110189,53647,27121,181195,29086,3476,20277,226171,9667,31782,29023
2014-11-11,373996,106865,46267,20412,172265,29149,2715,20313,225377,5442,31919,24563
2014-11-04,364675,97377,50207,19289,163418,29472,3145,21484,215103,4849,40856,22658
2014-10-28,350615,81837,50894,18773,159474,31735,4237,23597,192045,4768,44226,27398
2014-10-21,340339,83220,53091,14376,159434,32628,4543,22684,184460,3894,40868,28655
2014-10-14,396834,115600,53657,24248,174588,32419,5646,19893,228002,7028,31847,19788
2014-10-07,394733,127384,39231,16221,177913,34956,4265,17326,245291,5270,32545,24200
2014-09-30,394966,123920,46223,14216,183104,30432,4084,15552,245222,5192,35960,26977
2014-09-23,391793,115631,47880,13341,188528,29841,4777,20200,242153,4185,29853,26685
2014-09-16,540142,113017,73490,37973,164806,29364,36995,27829,209250,90484,49690,28264
2014-09-09,398025,102048,66232,26483,165736,29114,3359,30671,201721,7512,44684,32224
2014-09-02,398116,102615,71028,25045,165903,29913,3086,35761,200815,6302,45394,31854
2014-08-26,389813,103685,69933,24573,159138,29602,3202,35024,195242,5574,44707,32107
2014-08-19,385799,92483,68269,23264,165961,30160,3969,38675,201524,5394,42767,30009
2014-08-12,374151,93611,50799,27295,166025,33906,3292,33478,203261,4874,32543,26075
2014-08-05,387172,96922,57835,23914,180929,28366,3865,29162,216644,4795,34606,25698
2014-07-29,394790,100488,62113,17832,194061,26566,3311,29780,226128,3951,31029,28685
2014-07-22,382321,97221,57782,14875,188068,25917,4305,27910,221811,3640,30488,28010
2014-07-15,389411,87652,62253,25785,193831,26336,3358,26224,211427,4495,31691,28472
2014-07-08,386647,90373,61954,19510,190072,28291,3545,24933,214506,4296,37142,26981
2014-07-01,384078,93620,62463,20333,181652,29601,2562,25485,204943,4103,32865,31197
2014-06-24,362044,91916,48732,15696,177671,29501,3536,25893,208871,2562,31885,29085
2014-06-17,521843,105286,60152,53055,147909,33911,30936,38819,203858,83535,42962,27906
2014-06-10,406154,98932,62704,33854,146690,33050,3544,34407,191518,20646,51883,32257
2014-06-03,398565,108464,80928,24873,145766,33042,3793,30951,188835,14012,59301,30877
2014-05-27,376985,103101,82445,22206,143848,31842,3805,32894,176951,6707,49837,31972
2014-05-20,373386,89794,97369,18087,138603,40392,3857,35600,170215,4019,71166,26431
2014-05-13,388113,101895,97060,22635,138966,41545,3924,32499,177698,4034,70566,24256
2014-05-06,372610,100547,83152,22041,137599,42986,4236,28482,177547,3986,61713,24926
2014-04-29,375676,94007,78359,22391,145030,41523,4284,30824,186983,4278,58746,23907
2014-04-22,352819,81580,72524,18894,147944,34282,3239,31134,181127,3720,53576,24487
2014-04-15,387325,93484,67049,27299,153315,31130,3978,34972,213919,4937,50913,21044
2014-04-08,401356,104328,82810,19975,162439,23090,3905,30650,234518,4037,58108,19216
2014-04-01,387189,114310,44486,16541,171128,21777,2464,24095,267884,4040,40580,17707
2014-03-25,398872,114609,45540,17402,187565,20263,2041,26553,279091,3276,34095,16434
2014-03-18,573146,143500,46244,34093,184296,20438,9384,68906,344659,65771,47553,23549
2014-03-11,493357,137482,42923,22597,197271,19692,3072,66519,349015,6139,41708,20779
2014-03-04,501218,154983,47860,22623,200567,19648,2410,60196,358916,3426,38835,19391
2014-02-25,483393,151092,46050,17645,187983,20573,6594,60120,343611,2225,40168,21055
2014-02-18,465970,127313,41906,25473,188351,20958,6585,59295,317787,2235,40565,22036
2014-02-11,430945,109005,38688,18801,186351,20056,6548,54744,301537,2289,39746,19982
2014-02-04,417305,115170,31188,13077,170675,22159,5015,51167,306107,2414,46261,16796
2014-01-28,443230,133029,32021,8833,185586,24327,5326,50855,336911,1870,44690,15628
2014-01-21,434736,125381,24417,7535,187883,18437,5323,57165,340592,1425,35891,19083
2014-01-14,443116,132676,66068,9184,189439,19128,4763,59176,288803,1132,32802,19450
2014-01-07,441922,125818,57980,8732,191423,18417,4778,66496,310919,283,32676,16118
2013-12-31,428553,120952,30125,5733,192552,17677,4613,63413,339843,802,29230,17816
2013-12-24,422734,124498,30123,6426,187667,17643,4887,56608,334677,818,29275,16806
2013-12-17,537613,158182,28996,35756,190054,17795,32539,30830,345117,36551,34881,26236
2013-12-10,444950,146722,24147,14337,186318,17841,5008,31483,323170,11614,30984,32893
2013-12-03,448820,160239,35316,11065,193043,18375,4480,26335,329573,4704,30190,26786
2013-11-26,428504,155501,28896,9370,186841,18411,2299,22774,320715,3195,30420,28288
2013-11-19,412899,141335,23120,7730,188572,18138,3681,20106,316308,2304,30839,24227
2013-11-12,414610,144056,32627,8534,192099,18660,2869,14052,310871,3452,30974,21265
2013-11-05,437938,155691,27361,8868,196592,18441,2724,18629,334043,4018,32055,24249
2013-10-29,412965,141563,29590,9724,194906,21474,2658,11845,303336,4100,30581,23309
2013-10-22,383843,132931,26281,8868,179557,21934,3640,8336,280112,3797,29695,23248
2013-10-15,383376,142663,25679,6567,172091,22440,3542,8601,292385,2828,31902,16757
2013-10-08,390175,146803,29910,6846,169181,23455,4011,11446,291126,2560,32847,17024
2013-10-01,411994,167134,28047,3929,178688,23823,2400,9446,314956,3084,31741,22190
2013-09-24,400334,156940,26981,4166,178001,20363,2775,10546,313253,2344,31748,17265
2013-09-17,475897,154904,40098,24116,166814,28733,3066,14631,259510,62319,33655,29958
2013-09-10,371646,136790,35735,5728,158499,22795,4378,11801,239313,5846,32378,28149
2013-09-03,360193,139542,35118,4629,155516,23798,4003,8444,237281,4372,29303,23734
2013-08-27,377845,144628,35271,4547,168822,23455,4004,9400,255441,4121,26838,24090
2013-08-20,396829,146723,32920,6248,181630,23172,3333,8661,279658,4127,30899,20429
2013-08-13,430617,167588,42707,6456,190907,21365,3083,8930,303958,3882,32559,23272
2013-08-06,416995,172099,40414,5137,176973,21357,4404,7155,289547,3981,30781,26203
2013-07-30,408626,167936,40744,5933,176365,22191,3126,6780,281304,4215,29736,23663
2013-07-23,405054,161233,42373,6764,176869,24457,3698,7748,279855,3821,30556,18915
2013-07-16,380284,134012,37292,7687,176782,25032,3958,5395,251982,4900,31223,18176
2013-07-09,330200,107484,31995,4947,158938,25892,4064,6939,219034,4509,28610,14749
2013-07-02,316738,96382,31670,4020,159336,25449,3929,11305,208200,4285,24333,14779
2013-06-25,308093,90139,26546,6237,152073,25365,6414,10057,205763,4505,26519,14278
2013-06-18,475701,138396,41773,13082,168909,25667,5419,27079,272370,60062,36415,25391
2013-06-11,406008,128776,37376,11682,174052,25690,4756,27289,268331,6963,32101,29004
2013-06-04,446175,154530,36736,9467,194583,26264,4373,21248,308642,6010,35378,32854
2013-05-28,451580,167256,36499,5769,194746,30258,2820,18709,318149,6538,34356,28174
