report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2024-11-12,42252,3498,25759,4184,11312,947,325,14935,5018,902,1753,1106
2024-11-05,34299,2949,22911,2325,10080,598,321,12401,4354,722,1548,991
2024-10-29,35318,3662,25120,1871,10277,546,368,12506,4431,1033,1552,906
2024-10-22,34703,3080,23612,2113,9743,528,526,11972,4344,678,1634,1047
2024-10-15,35570,2853,23336,2427,10171,540,344,11766,4359,675,1521,1079
2024-10-08,30303,1992,20925,1510,9728,359,343,1202,4215,1090,1344,901
2024-10-01,29426,2718,20124,1504,9259,359,345,1061,4180,1003,1221,969
2024-09-24,32159,2035,20762,2757,9314,365,410,1040,3758,1379,1544,1050
2024-09-17,32462,1870,20016,2994,11761,416,507,1014,3693,968,1341,920
2024-09-10,29613,1677,18913,2360,18306,367,409,1005,3762,979,1312,996
2024-09-03,28315,2166,18943,1730,17789,371,249,1200,4144,540,1144,856
2024-08-27,31977,2334,20414,2640,19437,604,338,1152,4542,981,1431,1078
2024-08-20,31680,1990,19199,2974,18921,620,205,940,4274,1043,1331,1053
2024-08-13,30003,2255,19664,2747,18722,599,175,868,4187,745,1267,931
2024-08-06,29445,1906,19270,2609,17837,631,194,977,4216,610,1292,1035
2024-07-30,30223,2804,20431,2007,19843,647,143,1092,4221,523,1564,851
2024-07-23,34637,1931,20641,5038,20512,638,186,1206,3782,1228,1714,1224
2024-07-16,33146,1734,20583,3242,20051,661,168,1141,3828,876,1550,1141
2024-07-09,29931,1175,19044,2808,17790,563,282,1052,3751,1025,1453,1200
2024-07-02,28512,1306,18213,2670,17414,493,229,1151,3647,1123,1424,971
2024-06-25,32277,1675,18846,5034,17531,493,255,1187,3669,1033,1632,1157
2024-06-18,32562,2482,19790,4121,18024,654,168,1214,3687,704,1663,1088
2024-06-11,32500,2389,20256,3754,18563,591,126,1259,3699,811,1751,997
2024-06-04,33128,3308,21483,3312,18588,636,122,1245,3821,697,1713,907
2024-05-28,32656,2097,19352,4487,18673,773,145,1277,3762,734,1898,923
2024-05-21,33015,2280,19315,4076,18803,706,171,1254,3994,727,1709,894
2024-05-14,29093,1746,17575,3323,17008,518,227,1326,3330,816,1621,964
2024-05-07,28152,1765,17160,3091,17364,476,189,1330,3657,593,1685,980
2024-04-30,26747,1957,16609,3012,17003,421,171,1506,3325,546,1573,982
2024-04-23,30539,2572,19247,4014,19124,517,172,1460,3993,378,1632,950
2024-04-16,32099,2677,18049,4630,19025,632,144,1703,4258,429,1638,914
2024-04-09,31738,2996,19254,4050,19636,508,155,1761,4218,320,1810,762
2024-04-02,32225,3176,19465,3775,19565,548,151,2285,4151,382,1712,813
2024-03-26,35332,3516,19719,5214,19359,588,262,2967,4673,405,1958,973
2024-03-19,36987,5408,19811,5156,18182,524,186,2723,4986,882,1790,914
2024-03-12,34354,3609,19151,5188,18974,464,124,2835,4890,399,1926,959
2024-03-05,31077,4557,16974,4289,15996,393,203,2501,5206,463,1815,894
2024-02-27,27690,4358,15250,2932,14125,311,236,1956,5497,281,1829,785
2024-02-20,28423,4212,14714,3765,13789,34,295,1941,5572,595,1861,914
2024-02-13,27289,3856,14194,3620,13255,0,240,1923,5429,434,1832,1011
2024-02-06,22776,2802,12266,2648,12408,0,270,1675,4964,309,1680,853
2024-01-30,22479,2545,12172,2287,12898,0,223,1575,4788,323,1526,687
2024-01-23,25013,2878,11297,3754,12598,42,425,1588,4137,1111,1762,899
2024-01-16,25510,3517,13447,3322,12905,15,198,1921,5107,657,1891,804
2024-01-09,29243,3555,15162,3754,14394,0,172,906,6280,736,1703,798
2024-01-02,25569,3289,13760,2700,12792,0,171,882,5894,481,1823,753
2023-12-26,26619,2829,12700,4551,11958,0,322,976,6121,745,2297,1013
2023-12-19,28418,3258,12474,4453,11677,0,259,870,6676,593,3838,2733
2023-12-12,25080,3372,11465,4339,11552,0,289,734,6587,581,1796,865
2023-12-05,27198,4383,12397,4370,11785,0,241,647,6681,413,1752,886
