report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2012-12-31,2765033,442417,748685,52612,1394186,587493,206078,216499,856109,18993,275734,169694
2012-12-24,2763921,408411,753720,52237,1427753,589283,200366,209390,849270,20731,295980,180009
2012-12-18,3395668,679871,814632,167280,1363098,615315,226497,218204,901155,280928,277400,225819
2012-12-11,3226043,672382,812334,84883,1333253,662931,213305,209453,893898,185051,347416,211615
2012-12-04,3156565,622879,835126,77286,1353344,667979,224344,199712,839247,126484,380796,217037
2012-11-27,3117207,594281,877149,79164,1389594,694928,218529,208575,789419,86575,371388,222349
2012-11-20,3123365,587954,869919,85502,1366006,699098,218871,217796,795913,90578,389395,220281
2012-11-13,3075902,646478,824998,83495,1359854,718871,231241,207081,803275,72244,306831,207025
2012-11-06,2996323,543981,818013,64197,1466358,656908,223908,213968,813954,69015,265043,212993
2012-10-30,3015873,519749,839086,48126,1550881,685175,211309,233816,816122,49801,259001,212791
2012-10-23,2989251,523771,837029,56123,1529592,680485,217253,236244,801230,48627,239097,211723
2012-10-16,2927011,517739,804904,54773,1494131,655067,218019,194011,799053,44970,264087,213908
2012-10-09,2902097,503585,831364,39517,1487891,664661,219659,207316,777134,43755,255439,202577
2012-10-02,2926111,524238,833643,50877,1503906,694976,223502,181467,728398,49056,262170,213722
2012-09-25,2831321,482240,775094,60564,1465911,672004,210029,158608,739965,37240,282391,211006
2012-09-18,3584406,546870,1029082,142949,1488042,670066,226009,267723,675173,384447,340125,264148
2012-09-11,3193602,526652,1068282,90163,1386612,693441,215351,321018,622185,112875,376428,225532
2012-09-04,3099775,497607,1057857,83920,1389176,724728,208954,325081,578024,68228,369647,226656
2012-08-28,3056383,487525,1031297,78471,1414358,722637,202351,277609,581638,46016,390519,229824
2012-08-21,2998239,457071,979268,82165,1376901,700922,200163,276872,578098,45351,390107,239711
2012-08-14,2922565,427991,952778,71356,1369176,699606,196033,261706,575847,42246,377895,231342
2012-08-07,2831826,418858,862982,65568,1310416,706995,199999,228899,579920,40815,394578,229935
2012-07-31,2756499,407933,837690,52737,1290334,714285,198191,232554,541490,34425,395095,234051
2012-07-24,2860141,375685,887639,61901,1313836,834470,208428,304962,496401,31367,422910,223431
2012-07-17,2808514,354195,861700,57183,1314672,803793,210104,266801,494329,33577,431339,226451
2012-07-10,2795931,374069,874279,55228,1328230,813822,202405,254840,490847,29680,416173,223778
2012-07-03,2730453,364797,784427,51609,1320062,779639,196652,223936,515950,29930,407933,223995
2012-06-26,2741979,358283,818852,38057,1335346,870782,195836,257461,463124,30661,395559,225008
2012-06-19,2590421,290820,781426,37332,1317243,760650,197221,214985,447444,29281,376517,233229
2012-06-12,3420267,459156,1004581,135312,1353832,782315,234599,271225,610824,262465,534051,247761
2012-06-05,3166379,486819,942245,111486,1274343,856876,185219,309541,580037,116076,555930,240971
2012-05-29,3040378,482005,968622,77543,1282719,782496,170689,286632,566269,102117,504694,232023
2012-05-22,3000650,472946,946498,74613,1294156,777931,168403,268242,577667,90753,488610,237820
2012-05-15,2967815,516223,869160,87330,1288403,776420,162868,217563,645829,70798,466030,230897
2012-05-08,2867529,467894,878774,66233,1312212,724406,157182,176110,642504,73888,421534,215221
2012-05-01,2858768,503658,818518,69465,1313118,688990,146915,169685,726062,64181,418763,216298
2012-04-24,2819711,443242,789602,61344,1337037,742148,150705,178283,675115,54001,426073,225064
2012-04-17,2804377,435869,786641,61513,1362425,721524,152445,159936,681800,48610,409339,214728
2012-04-10,2775438,428693,789031,58297,1368559,728489,170944,152199,637676,41531,396099,225050
2012-04-03,2753427,424611,750632,59896,1393503,667791,156682,149797,711930,44055,366166,225109
2012-03-27,2732746,373935,783647,50076,1449163,665017,150410,137040,690291,34612,383033,237881
2012-03-20,2694315,381653,768533,52355,1422024,687373,162299,143244,646160,25923,360925,236158
2012-03-13,3318585,524465,925081,133716,1493681,711488,174150,143818,648166,276426,379716,305835
2012-03-06,2970409,486821,900694,91064,1436585,718255,168865,191920,554116,131749,280757,297930
2012-02-28,2827921,460665,832386,84868,1463577,690130,164069,171246,563081,92782,229630,265841
2012-02-21,2802676,447449,814558,96517,1437577,674784,167852,179078,567525,85903,228384,259324
2012-02-14,2756775,420032,777578,82197,1420411,689818,172404,179053,549694,93254,228731,258409
