report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2021-03-09,253528,57779,90891,7284,50384,54451,6511,86221,24463,2566,35185,46866
2021-03-02,244016,48155,97593,8844,49907,41642,5532,86577,26127,1603,35334,41637
2021-02-23,240070,51726,103574,5999,57138,34541,6725,69657,34252,1666,38216,35727
2021-02-16,235353,49983,102293,6520,72793,26006,5605,51430,41539,1962,37670,37559
2021-02-09,234372,48331,102355,3332,80589,25848,5914,46910,44902,1723,38319,37092
2021-02-02,234732,48966,103787,2397,81903,26752,6023,44780,42666,1668,39491,36962
2021-01-26,232059,52949,107694,3576,77792,21848,5715,45994,39134,1191,34990,39704
2021-01-19,235051,50825,113677,2750,79996,22686,6097,51534,35461,1639,33370,38278
2021-01-12,232289,46853,117449,3433,77760,24308,5299,53308,31491,1622,34736,35110
2021-01-05,220898,45851,102932,3475,79503,21924,4021,43197,39997,1492,34731,32451
2020-12-29,216887,41964,98604,2326,79630,21236,4005,42414,43225,1407,35383,32410
2020-12-21,212706,41623,85836,2491,76432,24490,3961,40391,49496,1168,32487,32632
2020-12-15,276828,42220,107724,8621,67886,31866,9885,58768,39431,22181,53326,42335
2020-12-08,244507,45533,104704,4316,70670,29554,4345,59802,46008,6032,44369,35336
2020-12-01,245965,45701,93536,3106,66517,33075,5422,69501,39259,2792,43811,34758
2020-11-24,247258,47005,93286,3559,63376,33726,5948,70766,37725,2397,44779,34376
2020-11-17,238473,52350,84014,3736,60621,34727,6648,63201,39056,2388,40112,32063
2020-11-10,238100,59611,79611,3612,54872,39444,5887,57015,40712,1110,44124,31652
2020-11-03,222955,51007,84637,2730,51595,34802,6666,52949,39151,1075,43979,33930
2020-10-27,227676,48087,80881,2664,54224,35507,6076,59810,44747,993,44148,34328
2020-10-20,219891,44716,73052,2324,55115,37541,6667,50495,45149,1270,46851,31925
2020-10-13,226211,45772,71387,3643,67015,37152,5761,41440,50961,1547,49058,34221
2020-10-06,277502,46904,54587,3271,67902,36229,6081,92137,19013,214,48199,33311
2020-09-29,275596,53195,56842,1864,70680,34360,6654,81205,15633,706,48557,33286
2020-09-22,332017,64101,45919,2256,74906,32999,5866,124962,9942,649,49007,34088
2020-09-15,348364,64098,71579,15075,73777,32472,8337,79019,23801,36877,60638,35649
2020-09-08,250803,54746,78121,4763,69136,36955,4744,45203,40742,2053,57981,35476
2020-09-01,245148,50115,102256,5121,82174,32209,4494,44103,43638,2681,44978,38286
2020-08-25,234983,43198,100936,4384,83345,28924,4257,41479,43170,2345,43960,37041
2020-08-18,229944,40061,98485,2924,85562,27117,5322,42824,45096,1149,41206,35024
2020-08-11,235063,48712,98928,4886,65736,32071,7145,59328,40945,870,38323,34395
2020-08-04,228566,55360,96723,2499,67607,29412,4897,50202,38963,949,37793,34106
2020-07-28,220915,52329,92785,3660,66979,28371,4458,47419,44012,1007,37396,32247
2020-07-21,222203,52543,91702,4871,65920,28945,6871,49651,43445,537,34734,32688
2020-07-14,223283,65539,88883,2660,68793,28190,5083,34911,47287,2555,33358,36306
2020-07-07,212535,55721,75973,3138,82135,21790,5004,22681,57186,2922,32608,34298
2020-06-30,194081,46851,58670,3173,82938,24355,5288,14381,55058,2909,31153,31952
2020-06-23,182561,41059,55853,1984,79756,24875,6250,13762,49004,1676,30130,30310
2020-06-16,228649,35954,75909,8687,78374,24347,5651,37436,45690,20450,32695,30666
2020-06-09,216274,37615,76797,6628,72443,32855,5965,49463,37182,5977,30616,37137
2020-06-02,209734,41064,70259,2956,73607,32781,6092,42270,43458,5039,29735,32749
2020-05-26,210002,40874,73602,4022,72655,31262,5824,39703,42314,4786,33594,31919
2020-05-19,198166,39266,65905,3725,63880,30927,6154,40272,40640,5431,31204,29065
2020-05-12,196564,36804,56060,2564,69920,28919,5995,36072,51464,5015,31134,30646
2020-05-05,184505,34810,48055,2210,64453,31762,4615,34688,47540,4899,28958,31534
2020-04-28,181751,34107,51789,2799,63428,37129,5200,33842,35009,4591,27927,30789
2020-04-21,179254,36890,54841,2954,62232,37220,5081,32342,28406,3782,26813,31274
2020-04-14,177937,35034,54070,2786,65814,33990,4026,32055,26596,4310,26422,34699
2020-04-07,183367,41939,48728,2981,61496,39491,4522,33060,30868,4254,27657,36121
2020-03-31,186519,38738,45848,3525,60210,38825,5967,35916,40543,3448,26996,34572
2020-03-24,199855,49024,40809,2128,63431,39534,6624,33447,65000,3057,31489,33305
2020-03-17,296271,62183,46442,13254,59441,65875,18502,36586,45725,35708,61894,59951
2020-03-10,220158,50039,62556,5485,72923,54699,3862,32054,40114,9479,38302,33609
2020-03-03,216843,49190,59888,5249,77560,38893,4145,25980,51877,10014,37230,35763
2020-02-25,214665,47624,45397,4150,72148,33201,6459,23960,67641,3027,49361,45865
2020-02-18,208321,54482,61529,1887,70924,41607,6942,28761,46569,1211,37061,41150
2020-02-11,207829,47331,57433,3167,72888,49763,7512,33813,41890,828,36020,39356
2020-02-04,204786,41865,53258,2677,74245,41805,9338,34460,42286,1188,34826,45032
2020-01-28,206168,50139,54112,2801,77879,40610,7823,24103,47055,1489,35802,42808
2020-01-21,216925,60317,62364,3575,77499,44071,8399,26081,46324,856,35411,41042
2020-01-14,215871,60052,64650,2850,77012,37277,10764,21929,50801,1057,36492,38604
2020-01-07,210289,54684,51020,3696,77914,44759,9330,21830,47504,2247,35722,40045
2019-12-31,216734,58921,58007,2664,81146,40447,8436,21743,57643,1915,36716,36058
2019-12-24,211094,53046,57349,3904,83795,41957,8320,21883,49985,2101,32952,36110
2019-12-17,276325,56441,72755,8808,65714,42245,27003,42973,37142,33032,36169,44592
2019-12-10,213003,37545,64521,5169,71316,37986,8568,45833,34706,4995,34699,43725
2019-12-03,210730,34927,61838,6594,81196,39022,4405,41118,38006,4603,33554,42399
2019-11-26,224422,41497,71777,4990,98307,38167,3797,33409,43399,4031,34445,45526
2019-11-19,232945,51824,71753,5585,97249,38582,5108,32184,49591,3756,33566,45903
2019-11-12,231853,54419,67284,4412,95303,40313,4961,33710,55271,3019,32413,44476
2019-11-05,226851,53310,65047,2982,91500,38568,4899,34640,55666,2968,32655,44952
2019-10-29,229678,58765,60293,2136,91178,45389,5343,33228,58286,2597,32965,41765
2019-10-22,218954,48148,59556,3936,87165,44159,5067,36680,50309,2120,32656,38571
2019-10-15,214331,52295,56128,2886,83968,46401,5374,34989,43102,2073,29793,42395
2019-10-08,202812,43561,51492,2766,76449,47973,5242,38557,39878,1910,31094,38431
2019-10-01,206517,43323,52309,3818,85067,45150,5374,33370,45749,1553,30454,38860
2019-09-24,202930,44709,57441,3327,81901,44446,5183,32505,42600,1895,29995,36753
2019-09-17,249740,42693,55044,15581,88296,45886,15364,35957,49915,13368,34533,43054
