report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2024-09-10,741888,76583,63756,29522,436889,118461,33828,13376,398775,25956,92555,50181
2024-09-03,740311,95060,69208,20689,440669,115476,34699,14325,420755,17901,85362,43832
2024-08-27,726519,94322,73854,18053,442350,120806,32426,11760,408951,7928,88749,46065
2024-08-20,692017,75339,78023,15632,436430,131472,31835,11271,358161,8284,82517,49310
2024-08-13,667350,71009,94427,14673,424905,147790,29368,10434,304665,8989,77589,50545
2024-08-06,671104,75644,90252,14003,429417,155519,29932,9987,305767,7868,74618,50338
2024-07-30,667299,73234,91398,13835,425151,160147,31976,12022,292272,9004,72802,49788
2024-07-23,672022,83176,78836,11894,425830,151792,32062,9528,320791,8549,72740,48773
2024-07-16,649251,85859,78470,10723,400777,153417,32707,9122,296439,7834,74281,49481
2024-07-09,637266,73785,79258,12892,393029,160108,32060,9478,275000,8436,75272,51656
2024-07-02,636895,72818,82267,13491,391717,170016,33604,8121,258959,8277,73248,51008
2024-06-25,650087,78729,90328,11717,396476,155008,34823,13201,278823,8327,71392,53194
2024-06-18,650388,78396,87215,12941,399229,149304,34085,12131,289849,7586,71985,52072
2024-06-11,712894,79583,80975,15261,408140,135021,33742,20083,335166,29824,93970,65269
2024-06-04,671736,80602,68259,12962,409324,127424,32887,17213,357516,5605,79709,48793
2024-05-28,664864,74699,67353,15517,405892,136029,34860,18294,337190,2909,79849,52769
2024-05-21,653081,75342,77721,9928,401674,137896,34327,17559,319690,2974,78304,50326
2024-05-14,656802,75619,82704,10354,398845,158505,32371,28935,296362,1871,76472,55345
2024-05-07,654804,69345,86146,10443,393484,164783,34025,38949,282240,1481,75156,57467
2024-04-30,652297,68274,91458,7935,390015,168221,33088,46663,278305,1530,73035,55521
2024-04-23,665771,63518,98985,8120,392006,166658,33657,60276,283871,1549,72410,57156
2024-04-16,658865,70146,104691,5930,397902,149568,33930,41566,290227,1441,73794,57364
2024-04-09,643496,65356,86911,6602,405602,136301,32539,24741,306427,1077,75049,55740
2024-04-02,682768,94297,103690,5727,403614,156339,32565,37237,307554,1618,73567,56929
2024-03-26,657300,81778,90904,8189,401800,127240,32538,19132,325661,1105,76447,53469
2024-03-19,656182,85730,89372,5260,401634,114402,33356,19660,346313,993,75816,50028
2024-03-12,717720,80929,77212,26371,418644,107299,39621,20240,384003,11203,84306,54109
2024-03-05,707108,88588,79149,13748,423822,124185,34811,22907,385252,4094,81532,51077
2024-02-27,715545,85862,79487,14700,442988,134256,30994,20353,384434,2777,80334,53287
2024-02-20,722299,87583,77256,10695,444982,142138,31787,31638,387684,1872,77957,56522
2024-02-13,740105,88270,94055,11591,464667,136045,31440,30023,392521,1855,76997,57571
2024-02-06,731991,80024,85356,13500,466851,131883,28885,25767,401825,2510,77651,52918
2024-01-30,727210,79542,68993,11291,470145,112148,28814,22769,438343,1846,78589,51354
2024-01-23,725423,75337,71769,10689,476138,98368,27781,20470,448644,1976,80371,51298
2024-01-16,733091,80292,68347,9920,479464,97950,26816,20988,465014,2227,81115,48694
2024-01-09,714079,80190,64329,9007,460848,95296,25441,21104,459402,2451,82429,44419
2024-01-02,718885,86037,73326,8165,460498,92299,25938,18714,456316,2523,83455,45545
2023-12-26,705627,71580,75813,11434,460850,95150,25298,18207,433849,2228,82271,48476
2023-12-19,700244,67756,75221,9286,459191,95873,26322,18849,427451,1937,81352,50322
2023-12-12,792149,83174,66533,24713,462262,99438,30745,21100,459903,28344,100250,65220
2023-12-05,756615,76280,64172,28744,478523,92860,22352,19995,479853,5332,85929,49360
2023-11-28,727138,73233,63049,21371,465952,93795,22285,19358,459111,4893,82613,49463
2023-11-21,712364,73652,65589,17178,453409,99427,22789,19317,442358,4898,83490,47326
2023-11-14,702463,77152,70027,14086,441077,113079,23629,19768,411285,5003,83714,51634
2023-11-07,697624,77240,71870,11480,443192,118769,21275,19829,400621,5567,82294,53835
2023-10-31,694962,77740,72267,10486,443345,121935,22001,19049,393879,5036,79333,55691
2023-10-24,702668,81600,72575,9546,448774,122822,23217,18287,400227,3479,80233,57490
2023-10-17,695676,75357,71058,11142,447860,130472,22636,19212,384515,3789,77878,58665
2023-10-10,687382,68001,68963,13442,444415,125782,22483,16796,380272,2923,82391,59630
2023-10-03,702433,82368,69165,19194,439608,132872,23344,16667,384966,1838,82432,56623
2023-09-26,699271,76453,64578,18649,441783,123649,22586,16961,397230,2667,82167,56159
2023-09-19,695343,65602,60740,17670,449293,114429,21941,18757,410033,1689,82112,55351
2023-09-12,743759,72898,59469,23555,450698,107951,22692,25933,442298,18160,92784,55883
2023-09-05,754263,89527,65457,23704,461039,107353,21877,29754,470397,2242,90003,50380
2023-08-29,748127,87774,59359,21434,464262,98767,22253,26259,483727,2792,88079,46607
2023-08-22,750486,91721,60015,15693,467608,85738,22755,27512,503905,2062,87925,46286
2023-08-15,760233,76755,53700,19329,492339,80087,22369,21538,525111,1725,90895,45474
