report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2016-03-29,3416045,367728,701759,442197,1189746,942458,265475,552270,265222,55912,296125,369265
2016-03-22,3372010,359057,689405,436054,1207566,919079,267057,535040,268721,54776,273046,368509
2016-03-15,4106027,405028,759092,591145,1162303,992766,323131,462492,403158,236885,634909,390695
2016-03-08,3909935,388602,788419,495383,1127818,949806,305609,444311,393742,214907,661862,381843
2016-03-01,3729589,366958,735770,398300,1125834,891770,305970,411140,407761,188796,682762,448502
2016-02-23,3639563,364311,737800,351542,1163488,919480,284389,384041,385530,182754,657368,425744
2016-02-16,3842637,374865,755628,557324,1143909,949043,298089,394749,386083,176952,603521,359382
2016-02-09,3829352,353983,752985,556037,1163603,961666,312687,397661,366979,143487,613106,341152
2016-02-02,3624457,340360,783416,501527,1149061,924450,294840,411879,334592,109671,556922,343332
2016-01-26,3547471,375515,726226,507211,1118194,952612,271908,386999,353215,91479,525424,319542
2016-01-19,3519255,314616,726702,496399,1096696,910151,297968,380935,331789,87611,574587,307679
2016-01-12,3412374,307341,598698,530002,1064347,852835,326244,304427,324487,97555,531068,315711
2016-01-05,3035892,307510,613034,395010,1050230,758056,300572,239483,313607,63200,457659,306398
2015-12-29,2981301,327264,610713,399596,1112717,697310,299924,221813,325529,51276,373115,297988
2015-12-22,3028253,360514,630859,397265,1066357,725193,305970,226078,323041,55224,413085,286960
2015-12-15,3802327,459369,675176,586798,1029327,692697,387285,389826,390504,281599,401533,396317
2015-12-08,3507655,446079,735693,505623,1051650,647525,317739,445315,403228,217480,301209,328976
2015-12-01,3438999,442496,771083,432478,1077551,659282,319022,501280,396587,142427,308661,348277
2015-11-24,3436366,424296,784633,431498,1092213,675476,314544,510505,377035,126294,320225,350622
2015-11-17,3585011,376274,846589,558249,1093976,676397,307200,530253,354835,123924,359615,338478
2015-11-10,3584639,411355,911265,504500,1188342,666719,275324,529314,377979,124720,331158,351154
2015-11-03,3546291,361250,856103,525286,1255883,661710,271341,489517,382267,131562,283921,372189
2015-10-27,3464035,347124,877362,468970,1227611,675076,264688,473735,382096,115423,323350,357812
2015-10-20,3537665,340333,957370,430493,1194570,717526,283474,550707,378675,98295,408634,343931
2015-10-13,3590395,344640,943895,513203,1151996,716416,282840,536805,363066,91380,429678,347433
2015-10-06,3572385,351805,945607,483761,1076494,741832,272188,586886,357638,84618,457589,344372
2015-09-29,3734451,431908,891961,625270,968369,807258,295919,566277,347754,82555,473982,306696
