report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2022-09-27,749001,65553,110848,72997,397335,160976,30630,27009,274103,18840,83634,60784
2022-09-20,726721,67092,107952,55380,408857,162965,26686,27400,282465,10203,79597,61584
2022-09-13,797971,68102,104138,64939,405224,168088,28558,47262,302890,38071,92329,70235
2022-09-06,807381,64953,102807,76837,404082,196053,30423,64859,283680,24103,88064,72339
2022-08-30,796262,68720,107243,71509,397508,199613,29562,69146,278798,21680,85047,67362
2022-08-23,799141,74627,109205,66322,401490,193412,30555,64882,287452,22894,86119,68118
2022-08-16,764836,63529,97783,61365,400397,178114,29787,57192,297868,18300,82317,62153
2022-08-09,752202,65671,92211,57335,397050,170455,29942,52676,303312,16584,81574,63004
2022-08-02,760557,61620,95323,67408,398161,161674,31377,48639,301757,18712,85693,64363
2022-07-26,774144,66243,109808,70999,390346,164333,31494,58753,293903,19372,86331,65602
2022-07-19,771127,62319,98811,66361,385724,170481,36911,64120,297041,18044,85715,62159
2022-07-12,758650,66720,92604,63806,392039,166392,31267,45942,290692,21383,86710,69318
2022-07-05,754360,63408,97523,66981,402816,153639,31933,34662,299099,19773,85639,61894
2022-06-28,729664,60868,79550,54000,400123,152465,29513,40152,326550,11018,86320,56705
2022-06-21,730456,63487,82347,53964,395672,164090,30497,39281,314985,10431,87668,54576
2022-06-14,728105,57199,86819,51082,404129,166211,30650,35236,307137,13001,88103,53986
2022-06-07,779660,70002,80387,73782,416932,156594,31605,27974,340370,18476,93563,56452
2022-05-31,778464,72646,83125,70317,416251,160734,31743,29029,336481,18942,90333,57769
2022-05-24,782891,71808,90242,67245,411256,167825,36761,32800,321731,22007,91351,58014
2022-05-17,777256,73195,97600,69028,405808,176008,33552,37345,305541,19541,88196,57837
2022-05-10,775338,70442,97163,67464,407867,184764,32158,41098,292881,19041,87752,61961
2022-05-03,787894,67047,95878,77566,392755,187609,35299,51748,285054,23548,91870,62303
2022-04-26,770417,70888,90281,69977,403607,183080,33687,38749,287515,22419,85668,62536
2022-04-19,743819,68570,78443,60234,400676,178245,35518,37109,288833,19093,79584,62306
2022-04-12,742758,72737,72498,61542,394868,174313,36370,38352,298690,18592,82528,60886
2022-04-05,738415,68225,78187,66358,395588,162698,34560,32274,300299,17585,81283,59255
2022-03-29,724176,69186,77342,60885,389691,148204,34428,32705,314596,13836,82913,57284
2022-03-22,721229,69321,84623,57913,388831,151758,34045,36268,303660,14332,78254,56493
2022-03-15,731727,61582,88730,60274,400601,158265,33694,40339,301641,16808,77605,54688
2022-03-08,805684,86992,93072,66706,404076,157464,35777,45370,341258,30621,88529,64013
2022-03-01,798963,65159,83854,64267,418836,133492,36236,46579,387815,18407,87498,57821
2022-02-22,755652,49435,82583,48306,417582,118231,32821,40989,387290,16785,92328,53439
2022-02-15,760550,52590,95910,44485,424720,125068,30998,41866,377604,15394,92053,54463
2022-02-08,753221,57997,100427,43497,415028,130092,29494,42117,356533,17307,90612,56178
2022-02-01,741723,52623,103278,49359,402393,147547,32664,42844,320015,15351,86626,58988
2022-01-25,732926,55536,105953,42280,408247,141276,30950,43842,324868,14057,81436,57643
2022-01-18,741576,56210,104787,40727,413333,154891,33040,44518,320961,14344,82415,56955
2022-01-11,723727,53695,105097,36072,405805,167219,34886,41324,296700,14114,81856,55017
2022-01-04,726109,48698,102261,41401,405283,172369,34030,41351,290916,15586,83025,55590
2021-12-28,719368,51509,106900,44580,410290,167389,33593,34451,284657,13890,78725,54227
2021-12-21,719318,49406,106992,47038,409050,169186,32287,33294,277535,15621,81241,55980
2021-12-14,713310,44867,104007,49129,404492,166263,33111,33017,275456,14929,82913,54462
2021-12-07,768267,49954,103741,49761,395951,160080,35574,50369,296458,46103,88672,60481
2021-11-30,780504,55300,112501,57507,393150,173181,40990,57289,292941,27289,96439,62161
2021-11-23,790236,60558,112882,56122,398724,176994,40621,61199,297122,25752,94791,61646
2021-11-16,781018,60191,102200,52865,398591,167940,39591,59386,316675,23719,94598,64105
2021-11-09,722290,53623,90332,34333,395270,156230,35616,49445,318046,15351,86326,58403
2021-11-02,732649,56273,97439,36577,395859,156598,34588,55166,318151,16824,87118,58235
2021-10-26,729402,55689,107674,33835,398520,152113,32105,53295,311226,16846,89062,61948
2021-10-19,727421,49581,102862,35298,409571,150706,30942,46006,318376,14990,89894,60509
2021-10-12,747144,59566,120281,36337,406119,145665,31283,55124,319583,15338,90989,64336
2021-10-05,755988,51183,120379,45516,420100,141675,31348,44640,324722,17222,93288,62456
2021-09-28,720568,50938,98408,36012,416227,137956,30915,28571,329052,15488,89562,59948
2021-09-21,710412,46735,80055,32865,427268,133806,29859,20916,351382,14311,88275,55591
2021-09-14,692667,46070,74697,28024,412811,121202,30641,21618,361163,11633,92682,53931
2021-09-07,734943,49549,82311,29639,409562,123256,31504,39766,375449,28031,100477,53325
2021-08-31,752386,53963,94909,39960,407330,133005,33150,51021,361988,21826,97529,55989
2021-08-24,750650,59025,83773,39109,402703,133253,33948,52108,364492,22672,94404,61320
2021-08-17,747603,56144,92034,35445,405173,125809,32977,51272,369948,18757,72394,57846
2021-08-10,755292,56132,96950,35170,413012,122043,30068,55157,375413,19504,94693,59524
2021-08-03,732213,50271,89097,36405,402716,110148,31146,47055,379175,18386,95492,54241
2021-07-27,737069,53372,83866,39587,404043,114075,32023,46868,382239,17180,96155,55281
2021-07-20,744288,56337,83843,38625,415249,109402,30337,45534,393628,18496,92648,57888
2021-07-13,753820,62161,80380,39736,430138,96696,29988,27483,420659,19107,95811,55008
2021-07-06,772128,51155,70826,47102,451419,90294,32157,23782,446621,19905,99677,51847
2021-06-29,759123,49870,64888,39025,454437,84085,30237,21244,460038,18300,101140,52077
2021-06-22,751104,51931,67211,37928,453210,83208,28564,19814,461824,16606,100071,47284
2021-06-15,734285,49527,54164,23929,459877,69150,24647,16829,504056,11167,102745,38401
2021-06-08,778123,63909,73919,25773,457204,67382,25151,24816,519508,17567,116757,40709
2021-06-01,789666,68407,70822,34043,458325,68935,29660,26891,524474,12063,115430,40933
2021-05-25,790140,70278,74494,36642,450696,68592,31313,26958,518168,12420,115680,39266
2021-05-18,775333,69332,75487,31579,446142,67765,30425,26445,507401,12688,113682,40341
2021-05-11,738999,68481,72391,29471,413035,68982,33295,28395,475751,10902,110197,38566
2021-05-04,723759,58892,68761,30382,404235,67875,32852,39250,460063,10472,101086,43260
2021-04-27,719141,60347,65460,30924,400997,68062,33161,38391,456072,11205,100374,45472
2021-04-20,709305,56769,65690,31615,398475,64270,33105,37569,447904,11541,95430,47029
2021-04-13,688609,51325,69001,28515,397324,72906,31027,37497,421431,8895,91918,49258
2021-04-06,695393,46551,68267,37445,392837,76201,33343,38028,410752,11559,93297,50824
2021-03-30,706030,56072,75797,35836,390004,78897,34810,39874,414396,10576,96176,48168
2021-03-23,690625,48637,64997,30549,403739,71112,31287,29641,426650,11235,92408,47315
2021-03-16,684075,47212,65609,27792,409510,69040,27893,28505,428318,10711,90919,45725
2021-03-09,766605,62647,70108,37407,399448,72129,27939,36892,443033,61317,99968,44525
2021-03-02,746742,71031,58524,36808,405335,65747,32444,31249,464889,34498,94795,43857
2021-02-23,743343,71137,55981,29850,404739,58174,30365,27524,483228,33662,99887,42056
2021-02-16,718146,65581,51100,27692,399621,57160,29298,28275,478894,22613,97213,41947
2021-02-09,717791,67489,52387,28980,390804,53449,29316,29892,475097,22959,99228,46152
2021-02-02,729707,70008,55688,34565,388345,54976,30220,34808,476130,21737,100626,46470
2021-01-26,726169,73432,49419,30429,394312,55793,27939,34413,495502,16631,100440,42634
2021-01-19,722432,76596,52077,29190,391975,56170,26817,32154,492741,15947,103409,41638
2021-01-12,721744,67494,50716,30951,402058,69487,26950,30870,479323,15847,103284,40533
2021-01-05,729116,65874,55606,35395,400411,72325,26963,33879,471517,18992,100351,39610
2020-12-29,725975,66113,51025,36585,399959,75348,25734,32035,469892,19023,100488,40021
